Day,susceptible,exposed,presymptomatic,symptomatic,mild,severe,recovered,qua_susceptible,qua_exposed,qua_presymptomatic,qua_symptomatic,qua_mild,qua_severe,qua_recovered,,"The table represents # of people in each state of the disease progression, which is as per below snapshot of the paper. Qua_ stand for quarantined, i.e. people in quarantine for different stages of the disease",,,,,,,,,
1,18699,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2,18699,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
3,18699,1,0,0,0,0,0,0,0,0,0,0,0,0,,qua_xxx,qua stand for quarantined,,,,,,,,
4,18697,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
5,18696,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
6,18695,4,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
7,18691,8,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
8,18683,14,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
9,18669,25,5,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
10,18640,46,13,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
11,18596,81,18,0,0,0,0,0,1,2,2,0,0,0,,,,,,,,,,,
12,18520,130,42,3,0,0,0,0,0,3,2,0,0,0,,,,,,,,,,,
13,18388,222,68,9,0,0,0,0,2,7,4,0,0,0,,,,,,,,,,,
14,18243,312,111,13,0,0,0,0,0,13,7,1,0,0,,,,,,,,,,,
15,18075,391,164,22,0,0,0,1,14,14,18,1,0,0,,,,,,,,,,,
16,17867,447,240,35,0,0,1,1,28,43,38,0,0,0,,,,,,,,,,,
17,17689,480,343,47,0,0,1,1,18,65,55,1,0,0,,,,,,,,,,,
18,17513,467,404,91,1,0,1,2,31,93,94,3,0,0,,,,,,,,,,,
19,17358,444,457,108,2,0,2,2,29,145,144,8,1,0,,,,,,,,,,,
20,17201,423,520,136,2,0,5,0,17,173,209,11,3,0,,,,,,,,,,,
21,16993,448,486,159,2,0,11,3,32,225,313,25,3,0,,,,,,,,,,,
22,16772,515,515,186,7,0,25,4,20,207,407,40,2,0,,,,,,,,,,,
23,16554,560,516,237,10,0,44,1,19,211,498,47,3,0,,,,,,,,,,,
