,age,case,MAPE,RMSE,MSE,MeanAE,MedianAE,R2_Score,MSLE
0,0-9,SUSCEPTIBLE,32.42535206007061,37.1780150088732,1382.204800000001,19.963043478260886,1.1400000000000001,0.9994624225760202,0.017868367389071636
1,0-9,EXPOSED,38.64452191854877,9.716885124449046,94.41785652173914,4.66108695652174,0.12,0.9965476578493715,0.011383401738517743
2,0-9,PRESYMPTOMATIC,34.54517599606174,11.143162457992677,124.1700695652174,5.6213043478260865,0.2,0.9967735876854317,0.011123925740359643
3,0-9,SYMPTOMATIC,,0.0,0.0,0.0,0.0,1.0,0.0
4,0-9,MILD,,0.0,0.0,0.0,0.0,1.0,0.0
5,0-9,SEVERE,,0.0,0.0,0.0,0.0,1.0,0.0
6,0-9,ASYMPTOMATIC1,32.38720229448448,17.58631669175239,309.2785347826088,9.513260869565217,0.6400000000000001,0.9970718309755263,0.012168441634149534
7,0-9,ASYMPTOMATIC2,19.165487284520523,9.74474351057823,94.96002608695652,5.358260869565218,0.39000000000000024,0.9968488882946069,0.008447979652955448
8,0-9,RECOVERED,22.090197288815013,121.09425532994142,14663.818673913045,62.3363043478261,14.500000000000142,0.994061047058702,0.0776064366796354
9,0-9,DECEASED,,0.0,0.0,0.0,0.0,1.0,0.0
10,10-19,SUSCEPTIBLE,25.391947411673215,25.40368947870435,645.347439130434,15.428043478260848,0.98,0.999617479904211,0.015884374401665072
11,10-19,EXPOSED,26.05410591779776,8.121888835786262,65.96507826086953,4.04,0.08000000000000002,0.9963535470466419,0.009692064042299145
12,10-19,PRESYMPTOMATIC,33.52946203902731,8.907788970773057,79.3487043478261,4.677826086956523,0.10000000000000002,0.9968710515623114,0.008061135627580441
13,10-19,SYMPTOMATIC,20.658252026145306,7.2647394399548,52.77643913043478,3.9510869565217392,0.13999999999999996,0.9973582357523045,0.006212560670415538
14,10-19,MILD,20.70806626759473,3.976370969484176,15.811526086956524,2.253695652173913,0.2799999999999999,0.9972366983629389,0.007960323085297092
15,10-19,SEVERE,,0.0,0.0,0.0,0.0,1.0,0.0
16,10-19,ASYMPTOMATIC1,37.15202978697548,6.649330139521412,44.213591304347844,3.847826086956523,0.24999999999999994,0.9970207591084472,0.008524757301439107
17,10-19,ASYMPTOMATIC2,30.316726390130285,3.518844301385229,12.3822652173913,2.0276086956521735,0.13999999999999935,0.9970732681504109,0.003651768683260844
18,10-19,RECOVERED,21.130567699941423,104.1484084079687,10846.890973913047,59.5108695652174,28.009999999999906,0.9933007196449856,0.07486216417126787
19,10-19,DECEASED,,0.0,0.0,0.0,0.0,1.0,0.0
20,20-29,SUSCEPTIBLE,22.73446324986267,47.394290520199235,2246.218773913047,25.187826086956548,0.9500000000000003,0.9994279921390622,0.020445752870042973
21,20-29,EXPOSED,22.029604651090214,12.265690926851349,150.44717391304349,6.102608695652174,0.14000000000000004,0.9964149927717433,0.010416994512317163
22,20-29,PRESYMPTOMATIC,19.935112134842335,13.730918142771014,188.53811304347818,7.116521739130433,0.14,0.9968016322176283,0.009155173373834731
23,20-29,SYMPTOMATIC,21.13739925583915,17.28685979983439,298.8355217391303,9.279130434782605,0.22999999999999968,0.99724991406958,0.009007272540185995
24,20-29,MILD,20.184156004405015,9.422892798692564,88.79090869565216,5.218043478260869,0.4599999999999995,0.9971264470471839,0.010881208459833584
25,20-29,SEVERE,,0.0,0.0,0.0,0.0,1.0,0.0
26,20-29,ASYMPTOMATIC1,25.353686299742463,4.331232378093269,18.75957391304347,2.3895652173913042,0.11000000000000006,0.9963647025118347,0.0063832998527683284
27,20-29,ASYMPTOMATIC2,27.94723766733639,2.5847571578810635,6.680969565217392,1.450217391304348,0.14,0.9954395077548924,0.004663781448673217
28,20-29,RECOVERED,19.640296361314334,152.34787647098133,23209.875465217392,77.1041304347826,15.009999999999934,0.9938466920775628,0.07647577067943853
29,20-29,DECEASED,,0.0,0.0,0.0,0.0,1.0,0.0
30,30-39,SUSCEPTIBLE,63.863722758017836,37.8372865903693,1431.6602565217408,21.92847826086959,0.79,0.9991774475045578,0.022778145935765905
31,30-39,EXPOSED,31.10344676574738,8.738722421796988,76.36526956521742,4.306956521739131,0.08,0.9959081553752592,0.010614831253709487
32,30-39,PRESYMPTOMATIC,28.970413771948085,9.76348075850714,95.32555652173914,4.997391304347827,0.12000000000000227,0.9963706220113479,0.008492456369972538
33,30-39,SYMPTOMATIC,31.521438749531526,12.739907173233586,162.3052347826086,6.939565217391301,0.4099999999999999,0.9966253493022444,0.009066293112329897
34,30-39,MILD,22.963990362037855,7.3746003576317705,54.38473043478264,4.058260869565218,0.2499999999999999,0.9960316203757998,0.005757075490894168
35,30-39,SEVERE,,0.0,0.0,0.0,0.0,1.0,0.0
36,30-39,ASYMPTOMATIC1,23.22302192550425,3.2820142277729922,10.771617391304352,1.7617391304347825,0.07000000000000024,0.9954206121512807,0.007037007399716963
37,30-39,ASYMPTOMATIC2,26.10120787313641,1.872804221528218,3.5073956521739147,1.0741304347826088,0.12,0.9946768979628295,0.010841519341971589
38,30-39,RECOVERED,20.667219638453904,99.56083715825304,9912.360295652177,51.573913043478264,17.019999999999754,0.9940793292313301,0.07357203038039857
39,30-39,DECEASED,,0.0,0.0,0.0,0.0,1.0,0.0
40,40-49,SUSCEPTIBLE,39.426611177436236,18.09741381956332,327.5163869565215,9.527173913043484,0.53,0.9993278916226285,0.01959685162513806
41,40-49,EXPOSED,42.47419706106157,4.697456758715294,22.0661,2.5906521739130435,0.07,0.995738920684262,0.012716661469640001
42,40-49,PRESYMPTOMATIC,46.133161764753716,5.375387549223572,28.894791304347805,2.9595652173913027,0.14000000000000012,0.9960318763954854,0.01262851996191557
43,40-49,SYMPTOMATIC,28.823351266326426,7.116768318861297,50.64839130434785,4.13521739130435,0.47,0.9962354887705385,0.01615511628170907
44,40-49,MILD,32.53164776722032,3.877131391388091,15.032147826086955,2.251304347826087,0.2700000000000001,0.9960283578220407,0.009723949968002694
45,40-49,SEVERE,,0.0,0.0,0.0,0.0,1.0,0.0
46,40-49,ASYMPTOMATIC1,30.580593753906797,1.5501121979027694,2.402847826086955,0.8571739130434781,0.06,0.9962964377282123,0.003999728707414582
47,40-49,ASYMPTOMATIC2,21.734698211766812,0.6251608488673311,0.3908260869565221,0.3152173913043479,0.04,0.9978853997126704,0.0015754888599341201
48,40-49,RECOVERED,25.826533161340738,54.02414246950355,2918.607969565217,28.885000000000005,8.619999999999905,0.9937659829189109,0.08050836428738392
49,40-49,DECEASED,,0.0,0.0,0.0,0.0,1.0,0.0
50,50-59,SUSCEPTIBLE,30.379021916476738,11.180988911696414,125.01451304347813,6.154347826086952,0.6200000000000001,0.9992837125835072,0.016484754456590266
51,50-59,EXPOSED,33.80373569384901,2.906901831997353,8.450078260869567,1.4469565217391311,0.06999999999999999,0.9954341212109489,0.011073446963952224
52,50-59,PRESYMPTOMATIC,30.862925640650314,3.263506383177988,10.650473913043472,1.7549999999999992,0.06,0.9959035937677326,0.011254252493088965
53,50-59,SYMPTOMATIC,25.241954688546723,4.348798934638509,18.912052173913036,2.408260869565217,0.19999999999999998,0.9961161785520186,0.011873603006568718
54,50-59,MILD,22.599253459022854,2.5276032641357236,6.388778260869565,1.4319565217391306,0.10000000000000003,0.995317077701364,0.0053831726256421165
55,50-59,SEVERE,,0.0,0.0,0.0,0.0,1.0,0.0
56,50-59,ASYMPTOMATIC1,15.615059472450726,0.9314318103819003,0.8675652173913042,0.4734782608695652,0.05000000000000002,0.9961783158660904,0.0040498262111020155
57,50-59,ASYMPTOMATIC2,22.56197633074822,0.6190174542738291,0.3831826086956522,0.3395652173913044,0.08000000000000007,0.9942067727613992,0.006030060380342026
58,50-59,RECOVERED,26.586513696552682,32.03424241271396,1026.1926869565216,16.95695652173913,4.540000000000013,0.9938780855643994,0.08083909083446886
59,50-59,DECEASED,,0.0,0.0,0.0,0.0,1.0,0.0
60,60-69,SUSCEPTIBLE,62.086955373202294,5.581256286816655,31.15042173913043,3.165,0.43999999999999995,0.9993021884929516,0.019750429772186363
61,60-69,EXPOSED,25.280056754398533,1.8558954243402184,3.444347826086959,0.9908695652173916,0.039999999999999994,0.9927780212248323,0.0088303317937044
62,60-69,PRESYMPTOMATIC,26.592348788737063,2.101303943000527,4.4154782608695635,1.1830434782608692,0.060000000000000026,0.9934050736051343,0.00890522795620492
63,60-69,SYMPTOMATIC,24.652340328687945,2.1095631115800098,4.450256521739133,1.2410869565217393,0.14999999999999983,0.9965202141044532,0.007728751438156606
64,60-69,MILD,14.964539427471161,1.0702234630531913,1.1453782608695655,0.5919565217391305,0.06000000000000001,0.9967586057722301,0.0028376824325118703
65,60-69,SEVERE,,0.0,0.0,0.0,0.0,1.0,0.0
66,60-69,ASYMPTOMATIC1,24.666311557783622,0.88936958620675,0.7909782608695657,0.48326086956521747,0.03,0.9867553677529923,0.009393855667165937
67,60-69,ASYMPTOMATIC2,22.10606154896061,0.563648826841678,0.3177,0.3123913043478261,0.020000000000000004,0.9812630759451146,0.009430091063689283
68,60-69,RECOVERED,22.67607296322618,17.096800234572246,292.3005782608696,9.879347826086958,3.95999999999999,0.9931798039490626,0.07175701215662932
69,60-69,DECEASED,,0.0,0.0,0.0,0.0,1.0,0.0
70,70+,SUSCEPTIBLE,26.92174154662741,1.0981486396579507,1.2059304347826079,0.7291304347826081,0.16000000000000003,0.9996773198293224,0.006601538037094768
71,70+,EXPOSED,30.644485095491774,0.5180229976429198,0.2683478260869565,0.26869565217391306,0.02,0.9933049959711939,0.0037091960461598265
72,70+,PRESYMPTOMATIC,19.153156441340748,0.4671188285650664,0.2181999999999999,0.2360869565217391,0.01,0.9961406899815518,0.0027044885781115587
73,70+,SYMPTOMATIC,28.390695548659135,0.5100085250779383,0.260108695652174,0.30108695652173906,0.07999999999999999,0.9981295990764679,0.0051387169638682
74,70+,MILD,27.28442701962386,0.40486175847844763,0.16391304347826088,0.22043478260869567,0.020000000000000004,0.9919334470589228,0.003955108286466326
75,70+,SEVERE,28.93772754580078,0.19075365401936378,0.036386956521739136,0.12282608695652175,0.040000000000000036,0.9929347454996406,0.007216887487251705
76,70+,ASYMPTOMATIC1,17.32612275328586,0.16451509776097858,0.027065217391304342,0.08847826086956519,0.0,0.9940418982826258,0.002148172783862446
77,70+,ASYMPTOMATIC2,25.89809252453214,0.12172670744067561,0.01481739130434783,0.06695652173913046,0.009999999999999998,0.9886937733968746,0.0025907284522335094
78,70+,RECOVERED,25.42703230797962,4.910119984365918,24.109278260869562,2.861304347826087,1.8099999999999916,0.9916648837483966,0.0604506249676609
79,70+,DECEASED,31.512355143211074,0.5456348516218038,0.2977173913043479,0.293695652173913,0.14000000000000057,0.9841796779546766,0.01409546523296743
